epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.704,1.41762,2.1865,1.59452,0.35812,0.30266,0.26522,0.11621,1.96721,2.44831,2.40988,0.000663704,0.000663704,0.000663704
2,206.575,1.62469,1.96451,1.76656,0.37777,0.43902,0.34182,0.12326,2.10327,3.24863,2.36617,0.0013172,0.0013172,0.0013172
3,299.659,1.67573,1.91087,1.80177,0.37299,0.47228,0.34569,0.13676,1.92654,2.19435,2.21035,0.0019575,0.0019575,0.0019575
4,373.328,1.64931,1.84191,1.79281,0.5106,0.51935,0.49826,0.22921,1.73009,1.7738,1.99014,0.0019406,0.0019406,0.0019406
5,446.927,1.60374,1.7794,1.7534,0.43357,0.43459,0.3792,0.18009,1.80171,1.94409,2.00253,0.0019208,0.0019208,0.0019208
6,520.687,1.57167,1.75403,1.73939,0.56368,0.55876,0.57799,0.29788,1.59207,1.62739,1.86692,0.001901,0.001901,0.001901
7,595.598,1.53607,1.63622,1.70017,0.56799,0.60053,0.5779,0.28483,1.62996,1.54541,1.88199,0.0018812,0.0018812,0.0018812
8,669.249,1.49401,1.59533,1.65659,0.64458,0.61863,0.65097,0.34732,1.50839,1.44219,1.78372,0.0018614,0.0018614,0.0018614
9,743.98,1.46702,1.53527,1.64236,0.6144,0.551,0.59445,0.30565,1.53885,1.51392,1.80227,0.0018416,0.0018416,0.0018416
10,817.632,1.44887,1.51474,1.6345,0.6946,0.63747,0.69695,0.39511,1.42735,1.3448,1.72541,0.0018218,0.0018218,0.0018218
11,890.69,1.43361,1.47638,1.62475,0.6835,0.62639,0.66439,0.35701,1.53177,1.36902,1.806,0.001802,0.001802,0.001802
12,964.143,1.41237,1.44824,1.61012,0.64966,0.64523,0.67122,0.36397,1.53684,1.35954,1.80382,0.0017822,0.0017822,0.0017822
13,1037.63,1.40136,1.43021,1.59691,0.66411,0.70732,0.71573,0.40923,1.36732,1.27027,1.66018,0.0017624,0.0017624,0.0017624
14,1111.23,1.37592,1.37602,1.57353,0.7081,0.6929,0.74334,0.42662,1.4101,1.16399,1.67534,0.0017426,0.0017426,0.0017426
15,1184.38,1.36866,1.37578,1.56708,0.66531,0.6929,0.69992,0.40248,1.40313,1.25624,1.69477,0.0017228,0.0017228,0.0017228
16,1258.08,1.36186,1.36832,1.55793,0.72585,0.7051,0.74867,0.43685,1.37727,1.16864,1.67801,0.001703,0.001703,0.001703
17,1331.39,1.35661,1.32711,1.5381,0.68936,0.71508,0.74133,0.43024,1.39202,1.16808,1.68081,0.0016832,0.0016832,0.0016832
18,1404.1,1.33904,1.2927,1.53915,0.71254,0.72949,0.75261,0.43861,1.35462,1.14284,1.63836,0.0016634,0.0016634,0.0016634
